rider,place,grade,usual_grade,club,day,month
12347,,E,E,WaratahMastersCC,29,1
12494,,E,E,WaratahMastersCC,29,1
12909,1,E,E,WaratahMastersCC,29,1
15567,2,E,E,WaratahMastersCC,29,1
12538,3,E,E,ParramattaCC,29,1
15924,,F,F,WaratahMastersCC,29,1
13048,,F,F,WaratahMastersCC,29,1
12425,,F,F,WaratahMastersCC,29,1
15020,1,F,F,WaratahMastersCC,29,1
12383,2,F,F,WaratahMastersCC,29,1
12557,3,F,F,DulwichHillBC,29,1
13960,,A,A,PenrithCC,5,2
15655,,A,A,WaratahMastersCC,5,2
15963,,A,A,ParramattaCC,5,2
15228,,A,A,ManlyWarringahCC,5,2
14538,,A,A,WaratahMastersCC,5,2
13916,,A,A,LidcombeAuburnCC,5,2
14502,,A,A,StGeorgeCC,5,2
15244,,A,A,ParramattaCC,5,2
13975,,A,A,WaratahMastersCC,5,2
13943,,A,A,WaratahMastersCC,5,2
15249,,A,A,DulwichHillBC,5,2
13674,,A,A,RandwickBotanyCC,5,2
12812,,A,A,PenrithCC,5,2
12336,,A,A,WaratahMastersCC,5,2
15268,,A,A,LidcombeAuburnCC,5,2
15250,,A,A,SutherlandShireCC,5,2
15901,,A,A,ManningValleyCC,5,2
14170,,A,A,MarconiCC,5,2
13969,,A,A,RandwickBotanyCC,5,2
14526,,A,A,SydneyUniVeloClub,5,2
13505,,A,A,LidcombeAuburnCC,5,2
13957,,A,A,NorthernSydneyCC,5,2
13114,1,A,A,PenrithCC,5,2
13201,2,A,A,PenrithCC,5,2
15069,3,A,A,Bicisport,5,2
13950,4,A,A,Bicisport,5,2
13789,5,A,A,LidcombeAuburnCC,5,2
15762,,B,B,WaratahMastersCC,5,2
13480,,B,B,WaratahMastersCC,5,2
14832,,B,B,DulwichHillBC,5,2
14210,,B,B,WaratahMastersCC,5,2
15360,,B,B,WaratahMastersCC,5,2
16043,,B,B,SydneyCC,5,2
15215,,B,B,MarconiCC,5,2
15648,,B,B,WaratahMastersCC,5,2
5914,,B,B,MarconiCC,5,2
14101,,B,B,WaratahMastersCC,5,2
12346,,B,B,WaratahMastersCC,5,2
14896,,B,B,WaratahMastersCC,5,2
3661,,B,B,WaratahMastersCC,5,2
15521,,B,C,WaratahMastersCC,5,2
14819,,B,B,PenrithCC,5,2
12421,,B,B,WaratahMastersCC,5,2
15224,,B,C,RandwickBotanyCC,5,2
14517,,B,B,WaratahMastersCC,5,2
13704,,B,B,RandwickBotanyCC,5,2
14159,,B,B,ParramattaCC,5,2
15381,,B,B,BankstownSportsCC,5,2
12479,,B,C,WaratahMastersCC,5,2
14864,,B,B,ManlyWarringahCC,5,2
14727,,B,B,PenrithCC,5,2
15661,,B,B,NorthernSydneyCC,5,2
15736,,B,B,PenrithCC,5,2
13385,,B,B,MarconiCC,5,2
15531,,B,B,LidcombeAuburnCC,5,2
14439,,B,B,WaratahMastersCC,5,2
13886,,B,B,WaratahMastersCC,5,2
15168,1,B,B,ManlyWarringahCC,5,2
13793,2,B,B,PenrithCC,5,2
14579,3,B,B,PenrithCC,5,2
3638,4,B,B,WaratahMastersCC,5,2
15434,5,B,B,DulwichHillBC,5,2
13912,,C,C,IllawarraCC,5,2
12716,,C,C,HunterDistrictCC,5,2
15548,,C,C,WaratahMastersCC,5,2
14531,,C,C,WaratahMastersCC,5,2
14701,,C,C,WaratahMastersCC,5,2
14387,,C,C,WaratahMastersCC,5,2
12730,,C,C,WaratahMastersCC,5,2
15576,,C,C,WaratahMastersCC,5,2
16063,,C,C,Unknown,5,2
12476,,C,C,WaratahMastersCC,5,2
12506,,C,C,WaratahMastersCC,5,2
12436,,C,C,RandwickBotanyCC,5,2
12374,,C,C,WaratahMastersCC,5,2
16061,,C,C,SydneyCC,5,2
15436,,C,C,WaratahMastersCC,5,2
12367,,C,C,WaratahMastersCC,5,2
12628,,C,C,PenrithCC,5,2
12412,,C,C,WaratahMastersCC,5,2
14148,,C,C,WaratahMastersCC,5,2
14775,,C,C,WaratahMastersCC,5,2
15992,,C,C,SydneyCC,5,2
15705,,C,C,WaratahMastersCC,5,2
16019,,C,C,DulwichHillBC,5,2
13949,,C,C,PenrithCC,5,2
16062,,C,C,PenrithCC,5,2
14627,,C,C,LidcombeAuburnCC,5,2
15942,,C,C,WaratahMastersCC,5,2
15507,,C,C,WaratahMastersCC,5,2
12535,,C,C,LidcombeAuburnCC,5,2
14388,,C,C,WaratahMastersCC,5,2
15939,1,C,C,NorthWesternSydneyCC,5,2
14330,2,C,C,CaravelloCC,5,2
12502,3,C,C,WaratahMastersCC,5,2
14691,4,C,C,WaratahMastersCC,5,2
12778,5,C,C,WaratahMastersCC,5,2
13437,,D,D,WaratahMastersCC,5,2
12481,,D,D,WaratahMastersCC,5,2
12483,,D,D,WaratahMastersCC,5,2
5058,,D,D,WaratahMastersCC,5,2
15809,,D,D,WaratahMastersCC,5,2
15458,,D,D,SydneyCC,5,2
12362,,D,D,WaratahMastersCC,5,2
12465,,D,D,PenrithCC,5,2
12371,,D,D,WaratahMastersCC,5,2
13134,,D,D,WaratahMastersCC,5,2
12603,,D,D,BankstownSportsCC,5,2
12499,,D,D,WaratahMastersCC,5,2
13699,,D,D,RandwickBotanyCC,5,2
15857,,D,D,WaratahMastersCC,5,2
12679,,D,D,WaratahMastersCC,5,2
12334,,D,D,WaratahMastersCC,5,2
12406,,D,D,WaratahMastersCC,5,2
12576,,D,D,MarconiCC,5,2
15256,,D,D,WaratahMastersCC,5,2
12439,,D,D,WaratahMastersCC,5,2
12528,,D,D,LidcombeAuburnCC,5,2
13780,1,D,D,WaratahMastersCC,5,2
15914,2,D,D,SutherlandShireCC,5,2
12621,3,D,D,WaratahMastersCC,5,2
15834,4,D,D,WaratahMastersCC,5,2
12443,5,D,C,WaratahMastersCC,5,2
12434,,E,E,WaratahMastersCC,5,2
12468,,E,E,WaratahMastersCC,5,2
14791,,E,D,WaratahMastersCC,5,2
12494,,E,E,WaratahMastersCC,5,2
15567,,E,E,WaratahMastersCC,5,2
12647,,E,E,WaratahMastersCC,5,2
5111,,E,E,WaratahMastersCC,5,2
12335,,E,E,WaratahMastersCC,5,2
12478,1,E,E,WaratahMastersCC,5,2
14115,2,E,E,WaratahMastersCC,5,2
12353,3,E,E,WaratahMastersCC,5,2
15517,4,E,E,WaratahMastersCC,5,2
12909,5,E,E,WaratahMastersCC,5,2
15924,,F,F,WaratahMastersCC,5,2
12425,,F,F,WaratahMastersCC,5,2
12347,,F,E,WaratahMastersCC,5,2
13048,,F,F,WaratahMastersCC,5,2
12437,1,F,F,WaratahMastersCC,5,2
12383,2,F,F,WaratahMastersCC,5,2
14338,,Helper,C,WaratahMastersCC,5,2
12385,,Helper,D,WaratahMastersCC,5,2
15666,,A,A,LidcombeAuburnCC,12,2
14589,,A,A,EasternSuburbsCC,12,2
14558,,A,A,NorthernSydneyCC,12,2
16049,,A,A,SydneyCC,12,2
15315,,A,A,EasternSuburbsCC,12,2
13505,,A,A,LidcombeAuburnCC,12,2
15504,,A,A,ManlyWarringahCC,12,2
15186,,A,A,ADFCycling,12,2
15883,,A,A,RaphaCCSydney,12,2
14383,,A,A,LidcombeAuburnCC,12,2
13565,,A,A,PelotonSports,12,2
15145,,A,A,RandwickBotanyCC,12,2
13557,,A,A,RandwickBotanyCC,12,2
14868,,A,A,SydneyCC,12,2
16064,,A,A,SutherlandShireCC,12,2
13026,,A,A,ManlyWarringahCC,12,2
16065,,A,A,SouthernHighlandsCC,12,2
14502,,A,A,StGeorgeCC,12,2
15491,,A,A,ManlyWarringahCC,12,2
12803,1,A,A,EasternSuburbsCC,12,2
15069,2,A,A,Bicisport,12,2
15244,3,A,A,ParramattaCC,12,2
15653,4,A,A,RandwickBotanyCC,12,2
15903,5,A,A,RandwickBotanyCC,12,2
13480,,B,B,WaratahMastersCC,12,2
15146,,B,B,RandwickBotanyCC,12,2
3661,,B,B,WaratahMastersCC,12,2
12346,,B,B,WaratahMastersCC,12,2
15661,,B,B,NorthernSydneyCC,12,2
15651,,B,B,WaratahMastersCC,12,2
14896,,B,B,WaratahMastersCC,12,2
12421,,B,B,WaratahMastersCC,12,2
12783,,B,B,RandwickBotanyCC,12,2
15917,,B,B,WaratahMastersCC,12,2
3638,,B,B,WaratahMastersCC,12,2
15906,,B,B,SydneyUniVeloClub,12,2
15913,,B,C,SydneyCC,12,2
15338,,B,B,SouthernCrossCC,12,2
12379,,B,B,RandwickBotanyCC,12,2
15648,,B,B,WaratahMastersCC,12,2
12764,,B,B,SydneyCC,12,2
14148,,B,C,WaratahMastersCC,12,2
14832,,B,B,DulwichHillBC,12,2
16067,1,B,B,RaphaCCSydney,12,2
13759,2,B,B,ADFCycling,12,2
12682,3,B,B,ParramattaCC,12,2
15558,4,B,B,EasternSuburbsCC,12,2
15173,5,B,B,RandwickBotanyCC,12,2
12412,,C,C,WaratahMastersCC,12,2
12778,,C,C,WaratahMastersCC,12,2
12439,,C,D,WaratahMastersCC,12,2
14531,,C,C,WaratahMastersCC,12,2
14338,,C,C,WaratahMastersCC,12,2
13712,,C,D,MarconiCC,12,2
16019,,C,C,DulwichHillBC,12,2
12730,,C,C,WaratahMastersCC,12,2
12367,,C,C,WaratahMastersCC,12,2
15844,,C,D,SydneyCC,12,2
14625,,C,C,ParklifeCC,12,2
12633,,C,C,Bicisport,12,2
12506,,C,C,WaratahMastersCC,12,2
13985,,C,B,RandwickBotanyCC,12,2
16070,,C,C,RandwickBotanyCC,12,2
3692,,C,C,WaratahMastersCC,12,2
15703,,C,C,WaratahMastersCC,12,2
15507,,C,C,WaratahMastersCC,12,2
16069,,C,C,ADFCycling,12,2
16015,1,C,C,RaphaCCSydney,12,2
16068,2,C,C,SydneyUniVeloClub,12,2
14701,3,C,C,WaratahMastersCC,12,2
12502,4,C,C,WaratahMastersCC,12,2
15992,5,C,C,SydneyCC,12,2
13437,,D,D,WaratahMastersCC,12,2
15256,,D,D,WaratahMastersCC,12,2
12481,,D,D,WaratahMastersCC,12,2
12362,,D,D,WaratahMastersCC,12,2
12483,,D,D,WaratahMastersCC,12,2
3655,,D,D,WaratahMastersCC,12,2
5058,,D,D,WaratahMastersCC,12,2
15523,,D,D,ManlyWarringahCC,12,2
12494,,D,E,WaratahMastersCC,12,2
12621,,D,D,WaratahMastersCC,12,2
16071,,D,D,RaphaCCSydney,12,2
16055,,D,D,ManlyWarringahCC,12,2
12459,,D,D,PelotonSports,12,2
12528,,D,D,LidcombeAuburnCC,12,2
13134,,D,D,WaratahMastersCC,12,2
12499,,D,D,WaratahMastersCC,12,2
12603,,D,D,BankstownSportsCC,12,2
15914,,D,C,SutherlandShireCC,12,2
14491,1,D,C,LidcombeAuburnCC,12,2
14830,2,D,C,WaratahMastersCC,12,2
12595,3,D,C,Bicisport,12,2
15834,4,D,D,WaratahMastersCC,12,2
15635,5,D,D,ManlyWarringahCC,12,2
12468,,E,E,WaratahMastersCC,12,2
12345,,E,E,WaratahMastersCC,12,2
12909,,E,E,WaratahMastersCC,12,2
13778,,E,D,RandwickBotanyCC,12,2
15517,,E,E,WaratahMastersCC,12,2
5111,,E,E,WaratahMastersCC,12,2
12347,,E,E,WaratahMastersCC,12,2
12353,1,E,E,WaratahMastersCC,12,2
12478,2,E,E,WaratahMastersCC,12,2
12557,,F,F,DulwichHillBC,12,2
12425,,F,F,WaratahMastersCC,12,2
15020,,F,F,WaratahMastersCC,12,2
13048,,F,F,WaratahMastersCC,12,2
12383,1,F,F,WaratahMastersCC,12,2
12437,2,F,F,WaratahMastersCC,12,2
15655,,A,A,WaratahMastersCC,19,2
15403,,A,A,NorthernSydneyCC,19,2
15360,,A,B,WaratahMastersCC,19,2
14383,,A,A,LidcombeAuburnCC,19,2
13975,,A,A,WaratahMastersCC,19,2
15822,,A,A,StGeorgeCC,19,2
15244,,A,A,ParramattaCC,19,2
15666,,A,A,LidcombeAuburnCC,19,2
15069,,A,A,Bicisport,19,2
14575,,A,A,SydneyUniVeloClub,19,2
12699,,A,A,MarconiCC,19,2
14495,,A,A,ParramattaCC,19,2
15400,,A,A,NorthernSydneyCC,19,2
15993,1,A,A,SydneyCC,19,2
13916,2,A,A,LidcombeAuburnCC,19,2
13201,3,A,A,PenrithCC,19,2
15425,4,A,A,SydneyCC,19,2
13950,5,A,A,Bicisport,19,2
14230,,B,B,WaratahMastersCC,19,2
13480,,B,B,WaratahMastersCC,19,2
14210,,B,B,WaratahMastersCC,19,2
14971,,B,B,WaratahMastersCC,19,2
16075,,B,B,SydneyCC,19,2
15736,,B,B,PenrithCC,19,2
16015,,B,B,RaphaCCSydney,19,2
15651,,B,B,WaratahMastersCC,19,2
12479,,B,C,WaratahMastersCC,19,2
14126,,B,B,WaratahMastersCC,19,2
13956,,B,B,WaratahMastersCC,19,2
5914,,B,B,MarconiCC,19,2
15833,,B,B,WaratahMastersCC,19,2
13793,,B,B,PenrithCC,19,2
13486,,B,A,LidcombeAuburnCC,19,2
3661,,B,B,WaratahMastersCC,19,2
15762,,B,B,WaratahMastersCC,19,2
16068,,B,B,SydneyUniVeloClub,19,2
16074,,B,B,MarconiCC,19,2
15536,,B,B,SydneyUniVeloClub,19,2
14579,,B,B,PenrithCC,19,2
15285,,B,A,SydneyCC,19,2
15531,1,B,B,LidcombeAuburnCC,19,2
3638,2,B,B,WaratahMastersCC,19,2
16073,3,B,B,WaratahMastersCC,19,2
12552,4,B,B,PenrithCC,19,2
15652,5,B,B,WaratahMastersCC,19,2
14148,,C,C,WaratahMastersCC,19,2
12716,,C,C,HunterDistrictCC,19,2
14691,,C,C,WaratahMastersCC,19,2
14531,,C,C,WaratahMastersCC,19,2
15841,,C,C,ArmidaleCC,19,2
14671,,C,C,LidcombeAuburnCC,19,2
15576,,C,C,WaratahMastersCC,19,2
14896,,C,B,WaratahMastersCC,19,2
3692,,C,C,WaratahMastersCC,19,2
14491,,C,C,LidcombeAuburnCC,19,2
12374,,C,C,WaratahMastersCC,19,2
14890,,C,C,WaratahMastersCC,19,2
15838,,C,C,StGeorgeCC,19,2
14517,,C,B,WaratahMastersCC,19,2
12730,,C,C,WaratahMastersCC,19,2
12367,,C,C,WaratahMastersCC,19,2
5458,,C,C,WaratahMastersCC,19,2
14388,,C,C,WaratahMastersCC,19,2
13985,1,C,B,RandwickBotanyCC,19,2
15521,2,C,C,WaratahMastersCC,19,2
12502,3,C,C,WaratahMastersCC,19,2
15219,4,C,C,PenrithCC,19,2
14751,5,C,C,ParramattaCC,19,2
13437,,D,D,WaratahMastersCC,19,2
5058,,D,D,WaratahMastersCC,19,2
13712,,D,D,MarconiCC,19,2
15802,,D,D,NorthWesternSydneyCC,19,2
14626,,D,D,WaratahMastersCC,19,2
12576,,D,D,MarconiCC,19,2
13780,,D,D,WaratahMastersCC,19,2
15827,,D,D,StGeorgeCC,19,2
12603,,D,D,BankstownSportsCC,19,2
12439,,D,C,WaratahMastersCC,19,2
15150,,D,D,SutherlandShireCC,19,2
12494,,D,E,WaratahMastersCC,19,2
15981,1,D,D,NorthWesternSydneyCC,19,2
15834,1,D,D,WaratahMastersCC,19,2
13134,3,D,D,WaratahMastersCC,19,2
15810,4,D,C,WaratahMastersCC,19,2
12621,5,D,D,WaratahMastersCC,19,2
12437,,E,F,WaratahMastersCC,19,2
12434,,E,E,WaratahMastersCC,19,2
12909,,E,E,WaratahMastersCC,19,2
12468,,E,E,WaratahMastersCC,19,2
15567,,E,E,WaratahMastersCC,19,2
14115,,E,E,WaratahMastersCC,19,2
13778,,E,D,RandwickBotanyCC,19,2
12335,,E,E,WaratahMastersCC,19,2
5111,,E,E,WaratahMastersCC,19,2
12478,1,E,E,WaratahMastersCC,19,2
12345,2,E,E,WaratahMastersCC,19,2
15924,,F,F,WaratahMastersCC,19,2
12425,,F,F,WaratahMastersCC,19,2
12347,,F,E,WaratahMastersCC,19,2
12383,1,F,F,WaratahMastersCC,19,2
15655,,A,A,WaratahMastersCC,5,3
15360,,A,A,WaratahMastersCC,5,3
15250,,A,A,SutherlandShireCC,5,3
15835,,A,A,HarlequinWheelmen,5,3
15690,,A,A,SydneyCC,5,3
15249,,A,A,DulwichHillBC,5,3
15400,,A,A,NorthernSydneyCC,5,3
13201,1,A,A,PenrithCC,5,3
14170,2,A,A,MarconiCC,5,3
13960,3,A,A,PenrithCC,5,3
13826,4,A,A,ParramattaCC,5,3
13975,5,A,A,WaratahMastersCC,5,3
15285,,B,B,SydneyCC,5,3
15833,,B,B,WaratahMastersCC,5,3
15283,,B,A,SydneyCC,5,3
13486,,B,B,LidcombeAuburnCC,5,3
16075,,B,B,SydneyCC,5,3
12479,,B,C,WaratahMastersCC,5,3
15282,,B,A,SydneyCC,5,3
13985,,B,C,RandwickBotanyCC,5,3
13793,1,B,B,PenrithCC,5,3
15947,2,B,C,SydneyCC,5,3
16077,2,B,B,GiantCCSydney,5,3
16078,4,B,B,SydneyCC,5,3
15510,5,B,A,Unknown,5,3
14830,,C,C,WaratahMastersCC,5,3
14148,,C,C,WaratahMastersCC,5,3
12716,,C,C,HunterDistrictCC,5,3
14691,,C,C,WaratahMastersCC,5,3
14531,,C,C,WaratahMastersCC,5,3
12730,,C,C,WaratahMastersCC,5,3
15576,,C,C,WaratahMastersCC,5,3
14517,,C,B,WaratahMastersCC,5,3
13501,,C,C,MarconiCC,5,3
15838,,C,C,StGeorgeCC,5,3
14388,,C,C,WaratahMastersCC,5,3
5458,,C,C,WaratahMastersCC,5,3
15992,1,C,C,SydneyCC,5,3
12412,2,C,C,WaratahMastersCC,5,3
12367,3,C,C,WaratahMastersCC,5,3
15521,4,C,C,WaratahMastersCC,5,3
12374,5,C,C,WaratahMastersCC,5,3
5058,,D,D,WaratahMastersCC,5,3
15150,,D,D,SutherlandShireCC,5,3
13712,,D,D,MarconiCC,5,3
12406,,D,D,WaratahMastersCC,5,3
12603,,D,D,BankstownSportsCC,5,3
12439,,D,C,WaratahMastersCC,5,3
12443,,D,C,WaratahMastersCC,5,3
12576,,D,D,MarconiCC,5,3
15256,,D,D,WaratahMastersCC,5,3
15915,1,D,D,IllawarraCC,5,3
15809,2,D,D,WaratahMastersCC,5,3
15834,3,D,D,WaratahMastersCC,5,3
12621,4,D,D,WaratahMastersCC,5,3
15827,5,D,D,StGeorgeCC,5,3
12437,,E,F,WaratahMastersCC,5,3
12434,,E,E,WaratahMastersCC,5,3
12909,,E,E,WaratahMastersCC,5,3
12494,,E,E,WaratahMastersCC,5,3
15567,,E,E,WaratahMastersCC,5,3
12335,,E,E,WaratahMastersCC,5,3
15517,,E,E,WaratahMastersCC,5,3
15924,,E,F,WaratahMastersCC,5,3
12478,1,E,E,WaratahMastersCC,5,3
14115,2,E,E,WaratahMastersCC,5,3
15020,,F,F,WaratahMastersCC,5,3
12347,,F,E,WaratahMastersCC,5,3
12425,,F,F,WaratahMastersCC,5,3
13048,,F,F,WaratahMastersCC,5,3
12383,1,F,F,WaratahMastersCC,5,3
12336,,Helper,A,WaratahMastersCC,5,3
3661,,Helper,B,WaratahMastersCC,5,3
12417,,Helper,B,WaratahMastersCC,5,3
5111,,Helper,E,WaratahMastersCC,5,3
13960,,A,A,PenrithCC,12,3
15603,,A,A,NorthWesternSydneyCC,12,3
13621,,A,A,WaratahMastersCC,12,3
13865,,A,A,CaravelloCC,12,3
13486,,A,B,LidcombeAuburnCC,12,3
14127,,A,A,WaratahMastersCC,12,3
14433,,A,A,SydneyCC,12,3
13975,,A,A,WaratahMastersCC,12,3
13943,,A,A,WaratahMastersCC,12,3
13946,,A,A,PenrithCC,12,3
13833,,A,A,LidcombeAuburnCC,12,3
14450,,A,A,RandwickBotanyCC,12,3
12336,,A,A,WaratahMastersCC,12,3
14544,,A,A,PenrithCC,12,3
13916,,A,A,LidcombeAuburnCC,12,3
15690,,A,A,SydneyCC,12,3
14495,,A,A,ParramattaCC,12,3
3638,,A,A,WaratahMastersCC,12,3
13202,,A,A,ParramattaCC,12,3
15268,,A,A,LidcombeAuburnCC,12,3
15244,,A,A,ParramattaCC,12,3
13306,,A,A,ParramattaCC,12,3
14509,,A,A,PenrithCC,12,3
15228,,A,A,ManlyWarringahCC,12,3
14631,,A,A,LidcombeAuburnCC,12,3
13201,1,A,A,PenrithCC,12,3
14383,2,A,A,LidcombeAuburnCC,12,3
13576,3,A,A,PenrithCC,12,3
14409,4,A,A,MurwillumbahCC,12,3
15154,5,A,A,Bicisport,12,3
14989,,B,B,LidcombeAuburnCC,12,3
13480,,B,B,WaratahMastersCC,12,3
15749,,B,B,NorthWesternSydneyCC,12,3
15360,,B,A,WaratahMastersCC,12,3
15652,,B,B,WaratahMastersCC,12,3
15531,,B,B,LidcombeAuburnCC,12,3
15762,,B,B,WaratahMastersCC,12,3
13746,,B,B,CentralCoastCC,12,3
14230,,B,B,WaratahMastersCC,12,3
13385,,B,B,MarconiCC,12,3
12417,,B,B,WaratahMastersCC,12,3
5914,,B,B,MarconiCC,12,3
13759,,B,B,ADFCycling,12,3
15473,,B,B,PenrithCC,12,3
14896,,B,B,WaratahMastersCC,12,3
15833,,B,B,WaratahMastersCC,12,3
13985,,B,B,RandwickBotanyCC,12,3
14123,,B,B,PenrithCC,12,3
14009,,B,B,PenrithCC,12,3
15224,,B,C,RandwickBotanyCC,12,3
13793,,B,B,PenrithCC,12,3
15460,,B,B,SydneyUniVeloClub,12,3
15736,,B,B,PenrithCC,12,3
12479,,B,C,WaratahMastersCC,12,3
15118,,B,B,LidcombeAuburnCC,12,3
12346,,B,B,WaratahMastersCC,12,3
15381,,B,B,BankstownSportsCC,12,3
15998,,B,B,SydneyCC,12,3
15651,,B,B,WaratahMastersCC,12,3
15185,,B,B,WaratahMastersCC,12,3
15648,1,B,B,WaratahMastersCC,12,3
14971,2,B,B,WaratahMastersCC,12,3
15553,3,B,B,LidcombeAuburnCC,12,3
14579,4,B,B,PenrithCC,12,3
15238,5,B,B,ADFCycling,12,3
14830,,C,C,WaratahMastersCC,12,3
14210,,C,B,WaratahMastersCC,12,3
14101,,C,B,WaratahMastersCC,12,3
12778,,C,C,WaratahMastersCC,12,3
14691,,C,C,WaratahMastersCC,12,3
13562,,C,C,WaratahMastersCC,12,3
14701,,C,C,WaratahMastersCC,12,3
14531,,C,C,WaratahMastersCC,12,3
14627,,C,C,LidcombeAuburnCC,12,3
12730,,C,C,WaratahMastersCC,12,3
15576,,C,C,WaratahMastersCC,12,3
13535,,C,C,WaratahMastersCC,12,3
5458,,C,C,WaratahMastersCC,12,3
15561,,C,D,LidcombeAuburnCC,12,3
12595,,C,D,Bicisport,12,3
13442,,C,C,WaratahMastersCC,12,3
14330,,C,C,CaravelloCC,12,3
14124,,C,C,PenrithCC,12,3
15838,,C,C,StGeorgeCC,12,3
12535,,C,C,LidcombeAuburnCC,12,3
15681,,C,C,LidcombeAuburnCC,12,3
16082,,C,C,NorthernSydneyCC,12,3
12367,,C,C,WaratahMastersCC,12,3
3692,,C,C,WaratahMastersCC,12,3
14148,,C,C,WaratahMastersCC,12,3
15548,,C,C,WaratahMastersCC,12,3
13949,,C,C,PenrithCC,12,3
15981,,C,C,NorthWesternSydneyCC,12,3
15705,,C,C,WaratahMastersCC,12,3
14751,,C,C,ParramattaCC,12,3
14723,,C,C,RandwickBotanyCC,12,3
15826,,C,C,NorthWesternSydneyCC,12,3
14388,,C,C,WaratahMastersCC,12,3
14491,,C,C,LidcombeAuburnCC,12,3
15521,1,C,C,WaratahMastersCC,12,3
15219,2,C,B,PenrithCC,12,3
16081,3,C,C,LaneCoVelo,12,3
12716,4,C,C,HunterDistrictCC,12,3
12502,5,C,C,WaratahMastersCC,12,3
12481,,D,D,WaratahMastersCC,12,3
5058,,D,D,WaratahMastersCC,12,3
12478,,D,D,WaratahMastersCC,12,3
13134,,D,D,WaratahMastersCC,12,3
12621,,D,D,WaratahMastersCC,12,3
15802,,D,D,NorthWesternSydneyCC,12,3
15857,,D,D,WaratahMastersCC,12,3
12358,,D,D,WaratahMastersCC,12,3
13780,,D,D,WaratahMastersCC,12,3
12371,,D,D,WaratahMastersCC,12,3
13699,,D,D,RandwickBotanyCC,12,3
15256,,D,D,WaratahMastersCC,12,3
12576,,D,D,MarconiCC,12,3
15735,,D,D,WaratahMastersCC,12,3
12679,,D,D,WaratahMastersCC,12,3
12443,,D,C,WaratahMastersCC,12,3
13278,,D,C,LidcombeAuburnCC,12,3
12406,,D,D,WaratahMastersCC,12,3
12603,,D,D,BankstownSportsCC,12,3
15150,,D,D,SutherlandShireCC,12,3
12632,1,D,C,WaratahMastersCC,12,3
12528,2,D,D,LidcombeAuburnCC,12,3
15810,3,D,D,WaratahMastersCC,12,3
12439,4,D,C,WaratahMastersCC,12,3
15827,5,D,D,StGeorgeCC,12,3
15567,,E,E,WaratahMastersCC,12,3
12494,,E,E,WaratahMastersCC,12,3
12345,,E,E,WaratahMastersCC,12,3
12437,,E,F,WaratahMastersCC,12,3
12434,,E,E,WaratahMastersCC,12,3
12468,,E,E,WaratahMastersCC,12,3
12335,,E,E,WaratahMastersCC,12,3
14115,,E,E,WaratahMastersCC,12,3
14296,,E,E,DulwichHillBC,12,3
12647,1,E,E,WaratahMastersCC,12,3
12373,2,E,D,WaratahMastersCC,12,3
12425,,F,F,WaratahMastersCC,12,3
12347,,F,E,WaratahMastersCC,12,3
15924,,F,F,WaratahMastersCC,12,3
13048,,F,F,WaratahMastersCC,12,3
12557,,F,F,DulwichHillBC,12,3
12383,1,F,F,WaratahMastersCC,12,3
13956,,Helper,B,WaratahMastersCC,12,3
13294,,Helper,C,WaratahMastersCC,12,3
15476,,Helper,D,WaratahMastersCC,12,3
12334,,Helper,D,WaratahMastersCC,12,3
5111,,Helper,E,WaratahMastersCC,12,3
13480,,A,B,WaratahMastersCC,26,3
15655,,A,A,WaratahMastersCC,26,3
14536,,A,A,PenrithCC,26,3
15400,,A,A,NorthernSydneyCC,26,3
15360,,A,A,WaratahMastersCC,26,3
14558,,A,A,NorthernSydneyCC,26,3
14316,,A,A,ManlyWarringahCC,26,3
13950,,A,A,Bicisport,26,3
15690,,A,A,SydneyCC,26,3
15410,,A,A,SydneyCC,26,3
16057,,A,A,NorthernSydneyCC,26,3
14383,,A,A,LidcombeAuburnCC,26,3
13486,,A,B,LidcombeAuburnCC,26,3
12336,,A,A,WaratahMastersCC,26,3
14544,,A,A,PenrithCC,26,3
15283,,A,A,SydneyCC,26,3
15403,,A,A,NorthernSydneyCC,26,3
13946,,A,A,PenrithCC,26,3
15869,,A,A,NorthernSydneyCC,26,3
3638,,A,A,WaratahMastersCC,26,3
15081,,A,B,NorthernSydneyCC,26,3
14404,,A,A,PenrithCC,26,3
13789,,A,A,LidcombeAuburnCC,26,3
15425,,A,A,SydneyCC,26,3
14631,,A,A,LidcombeAuburnCC,26,3
16084,,A,A,RaphaCCSydney,26,3
14495,1,A,A,ParramattaCC,26,3
13114,2,A,A,PenrithCC,26,3
13201,3,A,A,PenrithCC,26,3
13432,4,A,A,MarconiCC,26,3
13845,5,A,B,SydneyCC,26,3
15282,,B,A,SydneyCC,26,3
14210,,B,B,WaratahMastersCC,26,3
15381,,B,B,BankstownSportsCC,26,3
15727,,B,B,LidcombeAuburnCC,26,3
16043,,B,B,SydneyCC,26,3
13793,,B,B,PenrithCC,26,3
15651,,B,B,WaratahMastersCC,26,3
15989,,B,C,MarconiCC,26,3
5914,,B,B,MarconiCC,26,3
15997,,B,B,SydneyCC,26,3
15348,,B,B,WaratahMastersCC,26,3
16010,,B,B,SydneyCC,26,3
15090,,B,B,ParklifeCC,26,3
14896,,B,B,WaratahMastersCC,26,3
15833,,B,B,WaratahMastersCC,26,3
3661,,B,B,WaratahMastersCC,26,3
13929,,B,B,WaratahMastersCC,26,3
15149,,B,B,Unknown,26,3
