Tue Oct 10 10:25:56 +0000 2017,@LaborValues @NSWLabor you can always unfollow me George... this is the only Labor Leader that has not stood up to protect jobs... go figure
Tue Oct 10 08:59:43 +0000 2017,@NSWLabor Nope
Tue Oct 10 08:33:57 +0000 2017,"@pwlister @NSWLabor I've no idea how you connect my comment to that. 
You're like a broken record that plays the sa… https://t.co/MxLe3uY6D0"
Tue Oct 10 08:08:20 +0000 2017,RT @squig_: @greensjeremy @NSWLabor seem really content being in opposition. More time for the family I spose.
Tue Oct 10 08:04:03 +0000 2017,@greensjeremy @NSWLabor seem really content being in opposition. More time for the family I spose.
Tue Oct 10 07:05:22 +0000 2017,RT @AussiemacJ: @greensjeremy @PCKJ3627 @Luke_FoleyNSW @NSWLabor @GladysB Are you surprised ? I’m not !
Tue Oct 10 07:05:08 +0000 2017,@greensjeremy @PCKJ3627 @Luke_FoleyNSW @NSWLabor @GladysB Are you surprised ? I’m not !
Tue Oct 10 05:45:59 +0000 2017,And @NSWLabor have already forfeited any opportunity they might have had to take the moral high ground on this one.
Tue Oct 10 04:56:18 +0000 2017,"@LaborValues @NSWLabor you're right, supporting the AER &amp; axing of thousands of electricity jobs after guys worked rings out @ last election"
Tue Oct 10 04:02:19 +0000 2017,"@Luke_FoleyNSW @NSWLabor @AdamSearleMLC @CFMEU @Cass_Coleman Sorry, but there is plenty of coal on-site. Water is l… https://t.co/br700xAJLb"
Tue Oct 10 02:45:31 +0000 2017,@pwlister @NSWLabor You know there is still 18mths to go? NSW Labor is recovering from a historical wipe out. We've… https://t.co/PjiDHAY5T6
Tue Oct 10 02:31:43 +0000 2017,"@Luke_FoleyNSW @NSWLabor @AdamSearleMLC @CFMEU @Cass_Coleman Greetings from #Danograd, now with reduced power thx t… https://t.co/tH4n2E8Akm"
Tue Oct 10 01:28:12 +0000 2017,@greensjeremy @Luke_FoleyNSW @NSWLabor @GladysB They're so 'progressive'.
Mon Oct 09 23:26:14 +0000 2017,"@Luke_FoleyNSW @NSWLabor @AdamSearleMLC @CFMEU @Cass_Coleman We don't trust any of you to do what's best for us. 
A… https://t.co/M2eu0DGIJA"
Mon Oct 09 22:13:43 +0000 2017,"@greensjeremy @Luke_FoleyNSW @NSWLabor @GladysB Is it $$$$ Luke?
Or is it just pure stupidity 
Maybe both"
Mon Oct 09 22:02:22 +0000 2017,"@Luke_FoleyNSW @NSWLabor @AdamSearleMLC @CFMEU @Cass_Coleman So stop whining and fix it, but leave the coal in the ground"
Mon Oct 09 21:31:38 +0000 2017,"@LaborValues @NSWLabor hmmm OK, if you are campaigning to run second! You are closer to the action..."
Mon Oct 09 21:21:13 +0000 2017,@AlboMP @NSWLabor Jtbo has the intelect of a moth. The stupid inane comments he makes need no intelect at all.  He… https://t.co/WgQX6zlT4K
Mon Oct 09 21:05:12 +0000 2017,I wish the @LiberalNSW @NSWNationals @NSWLabor would get off the #coal bandwagon and take #climatechange seriously. https://t.co/cPG4VY8wgN
Mon Oct 09 13:13:22 +0000 2017,@AlboMP @NSWLabor Where was tony. Where was ben and ray. Where was youre wife.
Mon Oct 09 12:01:13 +0000 2017,@pwlister @NSWLabor I disagree. And historically they are good results for an opposition this far out of an election.
Mon Oct 09 11:12:19 +0000 2017,@AlboMP @NSWLabor Must be slow night in the massage parlours until the meeting finishes.
Mon Oct 09 10:41:55 +0000 2017,@AlboMP @NSWLabor True gullible muppets more like it!! They all need a hobby.
Mon Oct 09 10:40:19 +0000 2017,@AlboMP @NSWLabor ...and Mid-Mountains! #TrueBelievers
Mon Oct 09 10:16:01 +0000 2017,RT @TheNakedWombat: @krONik @traceywithhope @GladysB With @NSWLabor in 100% support of this action. Both need wiped out come next election.…
Mon Oct 09 10:14:38 +0000 2017,@krONik @traceywithhope @GladysB With @NSWLabor in 100% support of this action. Both need wiped out come next election. Vote for others.
Mon Oct 09 10:11:28 +0000 2017,@SaysBlueVelvet @AlboMP @NSWLabor Albo loves the Obeid's
Mon Oct 09 10:10:45 +0000 2017,@RJKilcullen @AlboMP @NSWLabor Albo loves to do nothing
Mon Oct 09 10:10:11 +0000 2017,@ElectronOtaku @AlboMP @NSWLabor No too keep the wife on the payroll
Mon Oct 09 09:13:10 +0000 2017,@Luke_FoleyNSW @NSWLabor @AdamSearleMLC @CFMEU @Cass_Coleman You also stand with the ALP Mayor from out that way th… https://t.co/M6HKH9mZ4T
Mon Oct 09 09:09:24 +0000 2017,@Luke_FoleyNSW @NSWLabor @AdamSearleMLC @CFMEU @Cass_Coleman please stand with 100's of residents in Newcastle now… https://t.co/oTsLCRWZsQ
Mon Oct 09 08:02:13 +0000 2017,@operator_mm @NSWLabor just an observation from a mere rank &amp; file member! 😂
